open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,changeVl
20.26,22.66,21.41,20.26,142753.48,0.75,3.63,21.104,20.547,20.393,125346.56,85153.65,61126.92,3.57,1
20.36,20.86,20.66,20.03,87876.53,-0.07,-0.34,21.02,20.382,20.362,119276.96,74740.85,57773.72,2.2,-1
21.3,21.4,20.73,19.72,162768.84,-1.18,-5.39,20.824,20.312,20.384,106592.83,70746.56,55004.98,4.07,-1
20.81,22.36,21.91,20.81,167942.41,1.1,5.29,20.66,20.189,20.394,83476.54,59899.84,48080.14,4.2,1
21.0,21.26,20.81,20.65,65391.54,-0.18,-0.86,20.212,19.987,20.354,54285.56,46721.27,41696.39,1.64,-1
19.73,21.58,20.99,19.73,112405.49,1.31,6.66,19.99,19.94,20.384,44960.74,43153.71,41229.95,2.81,1
19.9,19.96,19.68,19.61,24455.88,-0.23,-1.16,19.744,19.889,20.433,30204.73,34433.77,37545.6,0.61,-1
19.68,20.17,19.91,19.63,47187.37,0.24,1.22,19.8,19.963,20.546,34900.28,35611.26,38420.16,1.18,1
19.8,19.94,19.67,19.56,21987.51,-0.03,-0.15,19.718,20.029,20.64,36323.14,34600.59,37756.29,0.55,-1
19.78,19.84,19.7,19.54,18767.43,-0.06,-0.3,19.762,20.12,20.761,39156.98,34790.27,40967.3,0.47,-1
19.91,20.27,19.76,19.64,38625.45,-0.2,-1.0,19.89,20.239,20.857,41346.67,37100.19,41329.02,0.97,-1
19.5,20.17,19.96,19.35,47933.66,0.46,2.36,20.034,20.341,20.946,38662.81,40806.59,41544.03,1.2,1
19.88,20.16,19.5,19.28,54301.64,-0.39,-1.96,20.126,20.456,21.044,36322.24,39263.4,43102.93,1.36,-1
20.19,20.24,19.89,19.88,36156.71,-0.45,-2.21,20.34,20.599,21.18,32878.04,36260.45,48828.04,0.9,-1
20.47,20.55,20.34,20.18,29715.91,-0.14,-0.68,20.478,20.72,21.23,30423.55,36671.51,50373.81,0.74,-1
20.4,20.62,20.48,20.21,25206.15,0.06,0.29,20.588,20.827,21.279,32853.71,39306.2,51493.61,0.63,1
20.6,20.78,20.42,20.32,36230.77,-0.15,-0.73,20.648,20.977,21.335,42950.37,40657.43,52187.37,0.91,-1
20.6,20.78,20.57,20.5,37080.64,-0.01,-0.05,20.786,21.129,21.393,42204.56,41229.05,54401.23,0.93,-1
20.8,20.87,20.58,20.57,23884.3,-0.31,-1.48,20.858,21.251,21.482,39642.87,40912.0,58083.68,0.6,-1
20.52,21.2,20.89,20.52,41866.68,0.11,0.53,20.962,21.401,21.542,42919.46,47144.33,63559.12,1.05,1
20.92,20.99,20.78,20.0,75689.44,-0.33,-1.56,21.066,21.475,21.559,45758.7,45557.85,65607.36,1.89,-1
20.96,21.29,21.11,20.89,32501.76,0.18,0.86,21.306,21.55,21.56,38364.5,42281.47,64701.4,0.81,1
21.17,21.19,20.93,20.84,24272.15,-0.17,-0.81,21.472,21.632,21.527,40253.54,46942.45,64996.0,0.61,-1
21.3,21.38,21.1,21.02,40267.26,-0.31,-1.45,21.644,21.761,21.514,42181.14,61395.62,65864.4,1.01,-1
21.88,21.94,21.41,21.3,56062.87,-0.57,-2.59,21.84,21.739,21.491,51369.2,64076.12,67235.25,1.4,-1
22.13,22.2,21.98,21.75,38718.44,0.04,0.18,21.884,21.731,21.465,45357.01,63681.03,70162.43,0.97,1
21.79,22.44,21.94,21.68,41946.99,0.15,0.69,21.794,21.692,21.389,46198.44,63717.32,73408.04,1.05,1
22.0,22.08,21.79,21.71,33910.13,-0.29,-1.31,21.792,21.657,21.25,53631.36,67573.4,71724.44,0.85,-1
